Date,Day_of_the_week,App (Use all CAPITALS),Minutes,Category
08/27/2023,Sunday,TIKTOK,160,Entertainment
08/27/2023,Sunday,SAFARI,55,Other
08/27/2023,Sunday,INSTAGRAM,47,Social Media
08/28/2023,Monday,INSTAGRAM,98,Social Media
08/28/2023,Monday,YOUTUBE,59,Entertainment
08/28/2023,Monday,IMESSAGE,14,Other
08/28/2023,Monday,SHADOW FIGHT 2,9,Entertainment
08/29/2023,Tuesday,TIKTOK,261,Entertainment
08/29/2023,Tuesday,YOUTUBE,100,Entertainment
08/29/2023,Tuesday,MESSAGES,81,Other
08/30/2023,Wednesday,SAFARI,180,Other
08/30/2023,Wednesday,TIKTOK,86,Entertainment
08/30/2023,Wednesday,INSTAGRAM,54,Entertainment
08/31/2023,Thursday,TIKTOK,201,Entertainment
09/01/2023,Friday,YOUTUBE,133,Entertainment
09/01/2023,Friday,BURRITO BISON,45,Entertainment
08/25/2023,Friday,TIKTOK,226,Entertainment
08/25/2023,Friday,YOUTUBE,99,Entertainment
08/25/2023,Friday,BURRITO BISON,90,Entertainment
08/25/2023,Friday,SAFARI,54,Other
08/26/2023,Saturday,TIKTOK,200,Education
08/26/2023,Saturday,YOUTUBE,180,Education
08/26/2023,Saturday,INSTAGRAM,100,Social Media
